Tipo,Models,MAE,MSE,RMSE,EVS,Time
Linear,LinearRegression,2644021036.332953,2.8484205952426706e+22,168772645746.95364,-4.199096073024584e+17,0.3974297046661377
Linear,Ridge,72.26730093891562,61158.571380659625,247.30259072775527,0.09827922907727737,0.10964226722717285
Linear,RidgeCV,72.02546805728501,61117.915866831325,247.22037914951778,0.0988752736772982,0.7833325862884521
Linear,BayesianRidge,71.83752498803344,61131.935004148996,247.24873104659,0.09866599275838106,0.5889606475830078
Linear,Lasso,73.31639561086685,61922.73293613543,248.84278759115247,0.08699423907918469,0.4320666790008545
Linear,LassoCV,71.97935167365789,61119.92280237828,247.22443811722636,0.09884590975506224,11.424700736999512
Linear,ElasticNet,80.04078011289714,63999.06517200299,252.9803651906665,0.05636932293044716,0.27797913551330566
Linear,SGDRegressor,70.79681406965314,61200.10473302346,247.38654921604663,0.09792387292511806,0.8173120021820068
Linear,ARDRegression,72.07889770949042,61135.37373733994,247.25568494443144,0.09862043954442357,15.052390098571777
Linear,PassiveAggressiveRegressor,65.55143488401859,63034.90421435905,251.06752919156838,0.08722070335387566,0.46395111083984375
Ensemble,RandomForestRegressor,67.39148310631161,60353.83054514545,245.67016616827013,0.11012122835596239,40.77336382865906
Ensemble,GradientBoostingRegressor,67.55815839950935,58683.08138786639,242.24591098275815,0.13476393817375532,10.34090781211853
Ensemble,ExtraTreesRegressor,69.11233280157076,64015.545968793725,253.0129363664904,0.056138229189066746,37.533114194869995
Ensemble,AdaBoostRegressor,520.7634495986933,369161.69131282746,607.5867767758178,-0.7662965193547506,10.436460494995117
Ensemble,BaggingRegressor,70.13109583998036,61821.9857994846,248.64027388877412,0.08841675188610498,4.609736680984497
Neighbors,KNeighborsRegressor,75.042827340778,65109.21249723892,255.16506911652095,0.03998292760565891,1.9981029033660889
Boosting,XGBRegressor,69.45156632503958,62475.6423130961,249.9512798788918,0.07876980078623186,0.7511551380157471
Boosting,CatBoostRegressor,66.92258471163296,57927.054557146876,240.68039919600199,0.14588824049141602,4.574104309082031
Stacking,Stacking,65.06205322733989,56779.48499423408,238.2844623432969,0.16281875536044943,429.81769013404846
